flight_key,flight_id,airline_key,origin_airport_key,destination_airport_key,date_key,scheduled_time,actual_time,scheduled_hour,route,gate,status,passengers,delay_minutes,delay_band,is_on_time,is_delayed,is_cancelled
1,DE03120001,3,5,2,20260312,2026-03-12 12:45:00,2026-03-12 13:31:00,12,FRA-BER,A05,DELAYED,271,46,31-60,False,True,False
2,LH02250002,7,5,10,20260225,2026-02-25 13:20:00,2026-02-25 13:58:00,13,FRA-MUC,B03,DELAYED,269,38,31-60,False,True,False
3,DE01250004,3,5,9,20260125,2026-01-25 17:00:00,2026-01-25 17:26:00,17,FRA-MAD,E02,DELAYED,290,26,16-30,False,True,False
4,DE01210005,3,5,9,20260121,2026-01-21 22:50:00,2026-01-21 22:35:00,22,FRA-MAD,A05,ON_TIME,90,0,ON_TIME,True,False,False
5,AF01210006,1,5,3,20260121,2026-01-21 12:35:00,2026-01-21 12:20:00,12,FRA-CDG,A18,ON_TIME,241,0,ON_TIME,True,False,False
6,EK02230007,4,5,1,20260223,2026-02-23 13:35:00,2026-02-23 14:07:00,13,FRA-AMS,B09,DELAYED,249,32,31-60,False,True,False
7,AF03250008,1,5,7,20260325,2026-03-25 06:45:00,2026-03-25 07:33:00,6,FRA-JFK,B09,DELAYED,260,48,31-60,False,True,False
8,DE05260009,3,5,8,20260526,2026-05-26 15:45:00,2026-05-26 15:30:00,15,FRA-LHR,A18,ON_TIME,190,0,ON_TIME,True,False,False
9,AF05240010,1,5,4,20260524,2026-05-24 22:50:00,2026-05-24 23:36:00,22,FRA-DXB,B16,DELAYED,259,46,31-60,False,True,False
10,AF05110011,1,5,6,20260511,2026-05-11 20:35:00,2026-05-11 20:58:00,20,FRA-HAM,Z15,DELAYED,271,23,16-30,False,True,False
11,DE04080012,3,5,9,20260408,2026-04-08 20:20:00,2026-04-08 20:23:00,20,FRA-MAD,A12,ON_TIME,60,3,ON_TIME,True,False,False
12,KL03290013,6,5,7,20260329,2026-03-29 08:50:00,2026-03-29 08:35:00,8,FRA-JFK,E02,ON_TIME,189,0,ON_TIME,True,False,False
13,BA01280014,2,5,13,20260128,2026-01-28 15:20:00,2026-01-28 15:51:00,15,FRA-ZRH,E02,DELAYED,137,31,31-60,False,True,False
14,LH03240015,7,5,11,20260324,2026-03-24 20:30:00,2026-03-24 20:15:00,20,FRA-PMI,A05,ON_TIME,177,0,ON_TIME,True,False,False
15,AF01210016,1,5,11,20260121,2026-01-21 08:15:00,2026-01-21 09:22:00,8,FRA-PMI,A18,DELAYED,327,67,61-120,False,True,False
16,BA05020017,2,5,7,20260502,2026-05-02 22:40:00,2026-05-02 23:12:00,22,FRA-JFK,B09,DELAYED,157,32,31-60,False,True,False
17,UA06160018,8,5,7,20260616,2026-06-16 17:15:00,2026-06-16 17:11:00,17,FRA-JFK,B03,ON_TIME,181,0,ON_TIME,True,False,False
18,DE01060019,3,5,1,20260106,2026-01-06 22:45:00,2026-01-07 00:30:00,22,FRA-AMS,B16,DELAYED,71,105,61-120,False,True,False
19,DE03020020,3,5,13,20260302,2026-03-02 14:15:00,2026-03-02 14:31:00,14,FRA-ZRH,B03,DELAYED,297,16,16-30,False,True,False
20,IB02180021,5,5,9,20260218,2026-02-18 08:35:00,2026-02-18 08:34:00,8,FRA-MAD,A12,ON_TIME,82,0,ON_TIME,True,False,False
21,LH03280022,7,5,9,20260328,2026-03-28 08:45:00,2026-03-28 09:19:00,8,FRA-MAD,C07,DELAYED,126,34,31-60,False,True,False
22,BA04290023,2,5,3,20260429,2026-04-29 12:35:00,2026-04-29 15:03:00,12,FRA-CDG,A12,DELAYED,62,148,120+,False,True,False
23,AF04150024,1,5,6,20260415,2026-04-15 21:15:00,2026-04-15 21:06:00,21,FRA-HAM,A18,ON_TIME,85,0,ON_TIME,True,False,False
24,UA04100025,8,5,2,20260410,2026-04-10 14:15:00,2026-04-10 14:16:00,14,FRA-BER,A18,ON_TIME,304,1,ON_TIME,True,False,False
25,IB05160027,5,5,13,20260516,2026-05-16 10:30:00,2026-05-16 10:57:00,10,FRA-ZRH,C07,DELAYED,175,27,16-30,False,True,False
26,DE03050028,3,5,11,20260305,2026-03-05 07:25:00,2026-03-05 07:46:00,7,FRA-PMI,B16,DELAYED,322,21,16-30,False,True,False
27,IB05250030,5,5,11,20260525,2026-05-25 08:35:00,2026-05-25 09:14:00,8,FRA-PMI,B16,DELAYED,122,39,31-60,False,True,False
28,DE04050031,3,5,8,20260405,2026-04-05 14:40:00,2026-04-05 14:34:00,14,FRA-LHR,A05,ON_TIME,325,0,ON_TIME,True,False,False
29,KL01270032,6,5,7,20260127,2026-01-27 09:50:00,2026-01-27 09:59:00,9,FRA-JFK,B09,ON_TIME,134,9,ON_TIME,True,False,False
30,KL02230033,6,5,11,20260223,2026-02-23 15:45:00,2026-02-23 16:16:00,15,FRA-PMI,A12,DELAYED,81,31,31-60,False,True,False
31,UA01120034,8,5,3,20260112,2026-01-12 06:00:00,2026-01-12 05:51:00,6,FRA-CDG,A18,ON_TIME,189,0,ON_TIME,True,False,False
32,IB04200035,5,5,13,20260420,2026-04-20 22:30:00,2026-04-20 23:19:00,22,FRA-ZRH,B16,DELAYED,73,49,31-60,False,True,False
33,BA02020036,2,5,9,20260202,2026-02-02 06:50:00,2026-02-02 06:52:00,6,FRA-MAD,B16,ON_TIME,75,2,ON_TIME,True,False,False
34,AF03050037,1,5,7,20260305,2026-03-05 09:00:00,2026-03-05 09:32:00,9,FRA-JFK,B03,DELAYED,134,32,31-60,False,True,False
