flight_id,airline,origin,destination,route,scheduled_time,actual_time,flight_date,month,weekday,scheduled_hour,passengers,status,gate,delay_minutes,delay_band,is_on_time,is_delayed,is_cancelled,source_row_number
DE03120001,Condor,FRA,BER,FRA-BER,2026-03-12 12:45:00,2026-03-12 13:31:00,2026-03-12,2026-03,Thursday,12,271,DELAYED,A05,46,31-60,False,True,False,2
LH02250002,Lufthansa,FRA,MUC,FRA-MUC,2026-02-25 13:20:00,2026-02-25 13:58:00,2026-02-25,2026-02,Wednesday,13,269,DELAYED,B03,38,31-60,False,True,False,3
DE01250004,Condor,FRA,MAD,FRA-MAD,2026-01-25 17:00:00,2026-01-25 17:26:00,2026-01-25,2026-01,Sunday,17,290,DELAYED,E02,26,16-30,False,True,False,5
DE01210005,Condor,FRA,MAD,FRA-MAD,2026-01-21 22:50:00,2026-01-21 22:35:00,2026-01-21,2026-01,Wednesday,22,90,ON_TIME,A05,0,ON_TIME,True,False,False,6
AF01210006,Air France,FRA,CDG,FRA-CDG,2026-01-21 12:35:00,2026-01-21 12:20:00,2026-01-21,2026-01,Wednesday,12,241,ON_TIME,A18,0,ON_TIME,True,False,False,7
EK02230007,Emirates,FRA,AMS,FRA-AMS,2026-02-23 13:35:00,2026-02-23 14:07:00,2026-02-23,2026-02,Monday,13,249,DELAYED,B09,32,31-60,False,True,False,8
AF03250008,Air France,FRA,JFK,FRA-JFK,2026-03-25 06:45:00,2026-03-25 07:33:00,2026-03-25,2026-03,Wednesday,6,260,DELAYED,B09,48,31-60,False,True,False,9
DE05260009,Condor,FRA,LHR,FRA-LHR,2026-05-26 15:45:00,2026-05-26 15:30:00,2026-05-26,2026-05,Tuesday,15,190,ON_TIME,A18,0,ON_TIME,True,False,False,10
AF05240010,Air France,FRA,DXB,FRA-DXB,2026-05-24 22:50:00,2026-05-24 23:36:00,2026-05-24,2026-05,Sunday,22,259,DELAYED,B16,46,31-60,False,True,False,11
AF05110011,Air France,FRA,HAM,FRA-HAM,2026-05-11 20:35:00,2026-05-11 20:58:00,2026-05-11,2026-05,Monday,20,271,DELAYED,Z15,23,16-30,False,True,False,12
DE04080012,Condor,FRA,MAD,FRA-MAD,2026-04-08 20:20:00,2026-04-08 20:23:00,2026-04-08,2026-04,Wednesday,20,60,ON_TIME,A12,3,ON_TIME,True,False,False,13
KL03290013,KLM,FRA,JFK,FRA-JFK,2026-03-29 08:50:00,2026-03-29 08:35:00,2026-03-29,2026-03,Sunday,8,189,ON_TIME,E02,0,ON_TIME,True,False,False,14
