flight_id,airline,origin,destination,scheduled_time,actual_time,passengers,status,gate
DE03120001,Condor,FRA,BER,2026-03-12 12:45,2026-03-12 13:31,271,DELAYED,A05
LH02250002,Lufthansa,FRA,MUC,2026-02-25 13:20,2026-02-25 13:58,269,DELAYED,B03
IB03130003,Iberia,FRA,PMI,2026-03-13 05:40,2026-03-13 05:47,-3,ON_TIME,A12
DE01250004,Condor,FRA,MAD,2026-01-25 17:00,2026-01-25 17:26,290,DELAYED,E02
DE01210005,Condor,FRA,MAD,2026-01-21 22:50,2026-01-21 22:35,90,ON_TIME,A05
AF01210006,Air France,FRA,CDG,2026-01-21 12:35,2026-01-21 12:20,241,ON_TIME,A18
EK02230007,Emirates,FRA,AMS,2026-02-23 13:35,2026-02-23 14:07,249,DELAYED,B09
AF03250008,Air France,FRA,JFK,2026-03-25 06:45,2026-03-25 07:33,260,DELAYED,B09
DE05260009,Condor,FRA,LHR,2026-05-26 15:45,2026-05-26 15:30,190,ON_TIME,A18
AF05240010,Air France,FRA,DXB,2026-05-24 22:50,2026-05-24 23:36,259,DELAYED,B16
AF05110011,Air France,FRA,HAM,2026-05-11 20:35,2026-05-11 20:58,271,DELAYED,Z15
DE04080012,Condor,FRA,MAD,2026-04-08 20:20,2026-04-08 20:23,60,ON_TIME,A12
KL03290013,KLM,FRA,JFK,2026-03-29 08:50,2026-03-29 08:35,189,ON_TIME,E02
BA01280014,British Airways,FRA,ZRH,2026-01-28 15:20,2026-01-28 15:51,137,DELAYED,E02
LH03240015,Lufthansa,FRA,PMI,2026-03-24 20:30,2026-03-24 20:15,177,ON_TIME,A05
AF01210016,Air France,FRA,PMI,2026-01-21 08:15,2026-01-21 09:22,327,DELAYED,A18
BA05020017,British Airways,FRA,JFK,2026-05-02 22:40,2026-05-02 23:12,157,DELAYED,B09
UA06160018,United Airlines,FRA,JFK,2026-06-16 17:15,2026-06-16 17:11,181,ON_TIME,B03
DE01060019,Condor,FRA,AMS,2026-01-06 22:45,2026-01-07 00:30,71,DELAYED,B16
DE03020020,Condor,FRA,ZRH,2026-03-02 14:15,2026-03-02 14:31,297,DELAYED,B03
IB02180021,Iberia,FRA,MAD,2026-02-18 08:35,2026-02-18 08:34,82,ON_TIME,A12
LH03280022,Lufthansa,FRA,MAD,2026-03-28 08:45,2026-03-28 09:19,126,DELAYED,C07
BA04290023,British Airways,FRA,CDG,2026-04-29 12:35,2026-04-29 15:03,62,DELAYED,A12
AF04150024,Air France,FRA,HAM,2026-04-15 21:15,2026-04-15 21:06,85,ON_TIME,A18
UA04100025,United Airlines,FRA,BER,2026-04-10 14:15,2026-04-10 14:16,304,ON_TIME,A18
UA04100025,Air France,FRA,CDG,2026-02-25 07:25,2026-02-25 08:35,84,DELAYED,A05
IB05160027,Iberia,FRA,ZRH,2026-05-16 10:30,2026-05-16 10:57,175,DELAYED,C07
DE03050028,Condor,FRA,PMI,2026-03-05 07:25,2026-03-05 07:46,322,DELAYED,B16
KL06210029,KLM,FRA,FRA,2026-06-21 15:45,2026-06-21 16:23,92,DELAYED,A05
IB05250030,Iberia,FRA,PMI,2026-05-25 08:35,2026-05-25 09:14,122,DELAYED,B16
DE04050031,Condor,FRA,LHR,2026-04-05 14:40,2026-04-05 14:34,325,ON_TIME,A05
KL01270032,KLM,FRA,JFK,2026-01-27 09:50,2026-01-27 09:59,134,ON_TIME,B09
KL02230033,KLM,FRA,PMI,2026-02-23 15:45,2026-02-23 16:16,81,DELAYED,A12
UA01120034,United Airlines,FRA,CDG,2026-01-12 06:00,2026-01-12 05:51,189,ON_TIME,A18
IB04200035,Iberia,FRA,ZRH,2026-04-20 22:30,2026-04-20 23:19,73,DELAYED,B16
BA02020036,British Airways,FRA,MAD,2026-02-02 06:50,2026-02-02 06:52,75,ON_TIME,B16
AF03050037,Air France,FRA,JFK,2026-03-05 09:00,2026-03-05 09:32,134,DELAYED,B03
BA04160038,British Airways,FRA,HAM,2026-04-16 05:40,2026-04-16 05:38,265,ON_TIME,B03
KL06290039,KLM,FRA,HAM,2026-06-29 09:10,2026-06-29 09:35,290,DELAYED,B16
KL02270040,KLM,FRA,LHR,2026-02-27 05:45,2026-02-27 05:46,90,ON_TIME,B09
EK05110041,Emirates,FRA,JFK,2026-05-11 18:20,2026-05-11 19:22,190,DELAYED,A05
DE04220042,Condor,FRA,PMI,2026-04-22 17:00,2026-04-22 17:22,114,DELAYED,C07
AF01120043,Air France,FRA,CDG,2026-01-12 18:30,2026-01-12 18:57,155,DELAYED,B16
UA06200044,United Airlines,FRA,MUC,2026-06-20 16:25,2026-06-20 16:10,208,ON_TIME,E02
KL04150045,KLM,FRA,JFK,2026-04-15 16:10,2026-04-15 16:09,249,ON_TIME,A18
KL05210046,KLM,FR,MAD,2026-05-21 05:50,2026-05-21 05:59,219,ON_TIME,D04
KL05210046,Iberia,FRA,VIE,2026-06-22 12:20,2026-06-22 13:09,98,DELAYED,B09
EK03020048,Emirates,FRA,MUC,2026-03-02 14:45,2026-03-02 14:34,78,ON_TIME,B03
IB01190049,Iberia,FRA,PMI,2026-01-19 20:10,2026-01-19 19:55,259,ON_TIME,B03
BA06260050,,FRA,JFK,2026-06-26 05:35,2026-06-26 05:32,320,ON_TIME,D04
LH03050051,Lufthansa,FRA,ZRH,2026-03-05 09:15,2026-03-05 09:00,217,ON_TIME,D04
UA04250052,United Airlines,FRA,ZRH,2026-04-25 11:15,2026-04-25 11:36,196,DELAYED,E02
IB03030053,Iberia,FRA,JFK,2026-03-03 14:15,2026-03-03 14:25,96,ON_TIME,A18
BA04090054,British Airways,FRA,LHR,2026-04-09 09:45,2026-04-09 10:18,293,DELAYED,C07
LH04180055,Lufthansa,FRA,LHR,2026-04-18 18:25,2026-04-18 19:28,299,DELAYED,A05
EK04100056,Emirates,FRA,CDG,2026-04-10 19:20,2026-04-10 19:40,167,DELAYED,D04
AF04220057,Air France,FRA,CDG,2026-04-22 20:30,2026-04-22 20:23,294,ON_TIME,A18
LH06010058,Lufthansa,FRA,MAD,2026-06-01 05:35,2026-06-01 05:20,291,ON_TIME,A18
LH04080059,Lufthansa,FRA,CDG,2026-04-08 15:45,2026-04-08 15:33,270,ON_TIME,B09
DE01050060,Condor,FRA,VIE,2026-01-05 22:30,2026-01-05 23:26,90,DELAYED,A05
LH02210061,Lufthansa,FRA,LHR,2026-02-21 06:25,2026-02-21 07:04,166,DELAYED,D04
KL02120062,KLM,FRA,AMS,2026-02-12 08:40,2026-02-12 09:19,68,DELAYED,B09
UA02200063,United Airlines,FRA,MAD,2026-02-20 08:25,2026-02-20 08:31,116,ON_TIME,Z15
LH05170064,Lufthansa,FRA,AMS,2026-05-17 19:00,2026-05-17 19:06,61,ON_TIME,C07
