source_row_number,flight_id,airline,origin,destination,scheduled_time,actual_time,passengers,status,gate,rejection_reason
4,IB03130003,Iberia,FRA,PMI,2026-03-13 05:40:00,2026-03-13 05:47:00,-3,ON_TIME,A12,passengers must be a non-negative integer
27,UA04100025,Air France,FRA,CDG,2026-02-25 07:25:00,2026-02-25 08:35:00,84,DELAYED,A05,duplicate flight_id
30,KL06210029,KLM,FRA,FRA,2026-06-21 15:45:00,2026-06-21 16:23:00,92,DELAYED,A05,origin equals destination
47,KL05210046,KLM,FR,MAD,2026-05-21 05:50:00,2026-05-21 05:59:00,219,ON_TIME,D04,invalid origin
48,KL05210046,Iberia,FRA,VIE,2026-06-22 12:20:00,2026-06-22 13:09:00,98,DELAYED,B09,duplicate flight_id
51,BA06260050,,FRA,JFK,2026-06-26 05:35:00,2026-06-26 05:32:00,320,ON_TIME,D04,missing airline
71,UA05230069,Air France,FRA,CDG,2026-06-19 17:15:00,2026-06-19 17:31:00,224,DELAYED,B16,duplicate flight_id
92,KL03290091,KLM,FRA,MAD,2026-03-29 21:50:00,2026-03-29 22:00:00,305,BOARDING,A18,invalid status
93,,Iberia,FRA,ZRH,2026-05-04 17:00:00,2026-05-04 17:34:00,288,DELAYED,B16,missing flight_id
127,DE05230126,Condor,FRA,AMS,2026-05-23 16:35:00,2026-05-23 17:14:00,274,BOARDING,E02,invalid status
128,LH06180127,,FRA,PMI,2026-06-18 13:30:00,2026-06-18 13:38:00,58,ON_TIME,A18,missing airline
137,DE01280136,Condor,FRA,MAD,2026-01-28 13:10:00,,257,DELAYED,B09,actual_time required for non-cancelled flight
143,UA05290142,United Airlines,FRA,VIE,2026-05-29 22:30:00,2026-05-29 22:36:00,151,BOARDING,B16,invalid status
147,DE06190146,Condor,FRA,PMI,2026-06-19 10:00:00,,255,DELAYED,A18,actual_time required for non-cancelled flight
148,DE05240147,Condor,FRA,CDG,,2026-05-24 17:52:00,324,ON_TIME,A12,invalid scheduled_time
154,UA02210153,United Airlines,FRA,HAM,2026-02-21 09:50:00,2026-02-21 09:41:00,-18,ON_TIME,A12,passengers must be a non-negative integer
171,BA06230170,,FRA,PMI,2026-06-23 19:30:00,2026-06-23 20:00:00,242,DELAYED,B16,missing airline
189,IB02250188,Iberia,FRA,FRA,2026-02-25 16:30:00,2026-02-25 16:25:00,295,ON_TIME,B09,origin equals destination
222,UA04070221,United Airlines,FR,VIE,2026-04-07 17:35:00,2026-04-07 17:33:00,233,ON_TIME,A12,invalid origin
240,BA02250239,British Airways,FRA,BER,2026-02-25 22:15:00,2026-02-25 22:03:00,-19,ON_TIME,D04,passengers must be a non-negative integer
286,KL04050285,KLM,FRA,DXB,2026-04-05 20:15:00,,289,DELAYED,B16,actual_time required for non-cancelled flight
292,UA03200290,Iberia,FRA,MUC,2026-02-03 13:20:00,2026-02-03 14:11:00,271,DELAYED,A18,duplicate flight_id
303,DE02220301,United Airlines,FRA,DXB,2026-03-03 06:45:00,2026-03-03 06:38:00,287,ON_TIME,Z15,duplicate flight_id
312,,Air France,FRA,VIE,2026-04-05 20:45:00,2026-04-05 20:30:00,264,ON_TIME,A05,missing flight_id
314,,Condor,FRA,LHR,2026-05-16 13:10:00,2026-05-16 14:40:00,102,DELAYED,A05,missing flight_id
318,DE01280317,Condor,FRA,HAM,2026-01-28 11:15:00,,161,DELAYED,D04,actual_time required for non-cancelled flight
319,KL03090318,KLM,FRA,VIE,2026-03-09 08:35:00,2026-03-09 09:05:00,-7,DELAYED,B03,passengers must be a non-negative integer
335,EK05240334,,FRA,HAM,2026-05-24 16:45:00,2026-05-24 17:11:00,248,DELAYED,B09,missing airline
347,,Iberia,FRA,VIE,2026-03-09 12:50:00,2026-03-09 13:21:00,104,DELAYED,A12,missing flight_id
349,AF03180348,,FRA,VIE,2026-03-18 08:10:00,2026-03-18 08:43:00,312,DELAYED,Z15,missing airline
359,,Air France,FRA,BER,2026-04-27 07:00:00,2026-04-27 06:45:00,292,ON_TIME,E02,missing flight_id
388,BA03160386,British Airways,FRA,JFK,2026-06-15 11:00:00,2026-06-15 10:45:00,102,ON_TIME,B16,duplicate flight_id
398,KL05240397,KLM,FRA,ZRH,2026-05-24 12:15:00,,287,DELAYED,B16,actual_time required for non-cancelled flight
406,KL05210405,KLM,FRA,DXB,2026-05-21 16:20:00,2026-05-21 16:44:00,231,BOARDING,A18,invalid status
