issue_id,source_row_number,flight_id,rule_code,quality_dimension,severity,issue_description,workflow_status,owner,resolution_notes
ISS-00001,4,IB03130003,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00002,27,UA04100025,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00003,30,KL06210029,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00004,47,KL05210046,DQ005,Validity,High,invalid origin,Open,,
ISS-00005,48,KL05210046,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00006,51,BA06260050,DQ004,Completeness,High,missing airline,Open,,
ISS-00007,71,UA05230069,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00008,92,KL03290091,DQ010,Validity,High,invalid status,Open,,
ISS-00009,93,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00010,127,DE05230126,DQ010,Validity,High,invalid status,Open,,
ISS-00011,128,LH06180127,DQ004,Completeness,High,missing airline,Open,,
ISS-00012,137,DE01280136,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
ISS-00013,143,UA05290142,DQ010,Validity,High,invalid status,Open,,
ISS-00014,147,DE06190146,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
ISS-00015,148,DE05240147,DQ008,Validity,High,invalid scheduled_time,Open,,
ISS-00016,154,UA02210153,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00017,171,BA06230170,DQ004,Completeness,High,missing airline,Open,,
ISS-00018,189,IB02250188,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00019,222,UA04070221,DQ005,Validity,High,invalid origin,Open,,
ISS-00020,240,BA02250239,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00021,286,KL04050285,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
ISS-00022,292,UA03200290,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00023,303,DE02220301,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00024,312,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00025,314,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00026,318,DE01280317,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
ISS-00027,319,KL03090318,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00028,335,EK05240334,DQ004,Completeness,High,missing airline,Open,,
ISS-00029,347,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00030,349,AF03180348,DQ004,Completeness,High,missing airline,Open,,
ISS-00031,359,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00032,388,BA03160386,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00033,398,KL05240397,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
ISS-00034,406,KL05210405,DQ010,Validity,High,invalid status,Open,,
ISS-00035,421,LH01170420,DQ008,Validity,High,invalid scheduled_time,Open,,
ISS-00036,429,UA05120428,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00037,433,EK02260432,DQ010,Validity,High,invalid status,Open,,
ISS-00038,455,DE04200454,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00039,461,LH06130460,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
ISS-00040,462,KL01090461,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00041,465,UA01020464,DQ004,Completeness,High,missing airline,Open,,
ISS-00042,473,LH01110471,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00043,488,UA01220487,DQ005,Validity,High,invalid origin,Open,,
ISS-00044,494,KL03010493,DQ008,Validity,High,invalid scheduled_time,Open,,
ISS-00045,499,IB01090498,DQ005,Validity,High,invalid origin,Open,,
ISS-00046,502,IB06240501,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
