flight_date,total_flights,on_time_flights,delayed_flights,cancelled_flights,average_delay_minutes,total_passengers,on_time_rate_pct,delay_rate_pct
2026-01-01,4,3,1,0,6.0,604,75.0,25.0
2026-01-02,6,6,0,0,1.83,1102,100.0,0.0
2026-01-03,4,1,3,0,27.0,710,25.0,75.0
2026-01-04,5,2,2,1,19.4,627,40.0,40.0
2026-01-05,1,0,1,0,56.0,90,0.0,100.0
2026-01-06,4,1,3,0,47.75,603,25.0,75.0
2026-01-07,2,2,0,0,0.0,386,100.0,0.0
2026-01-08,3,2,1,0,16.67,540,66.67,33.33
2026-01-09,6,5,0,1,2.33,1284,83.33,0.0
2026-01-10,3,1,2,0,22.0,550,33.33,66.67
2026-01-11,4,3,1,0,7.75,745,75.0,25.0
2026-01-12,8,3,5,0,14.88,1272,37.5,62.5
2026-01-13,3,2,1,0,40.0,825,66.67,33.33
2026-01-14,3,2,1,0,59.0,683,66.67,33.33
2026-01-15,1,1,0,0,0.0,242,100.0,0.0
2026-01-16,2,2,0,0,6.0,442,100.0,0.0
2026-01-17,5,3,2,0,28.2,865,60.0,40.0
2026-01-18,3,3,0,0,8.67,552,100.0,0.0
2026-01-19,5,2,3,0,46.4,1001,40.0,60.0
2026-01-20,2,2,0,0,0.0,155,100.0,0.0
2026-01-21,8,5,3,0,29.38,1550,62.5,37.5
2026-01-22,3,2,1,0,21.67,502,66.67,33.33
2026-01-23,3,2,0,1,2.67,565,66.67,0.0
2026-01-24,4,2,2,0,23.75,526,50.0,50.0
2026-01-25,4,2,2,0,13.25,887,50.0,50.0
2026-01-26,6,4,1,1,13.0,1159,66.67,16.67
2026-01-27,5,2,3,0,18.8,653,40.0,60.0
2026-01-28,7,3,3,1,24.14,1242,42.86,42.86
2026-01-29,5,2,3,0,45.0,1374,40.0,60.0
2026-01-30,4,1,3,0,24.25,924,25.0,75.0
2026-01-31,4,2,2,0,12.75,823,50.0,50.0
2026-02-01,5,4,1,0,4.4,1045,80.0,20.0
2026-02-02,5,5,0,0,1.8,951,100.0,0.0
2026-02-03,7,6,1,0,8.57,1332,85.71,14.29
2026-02-04,2,1,1,0,15.5,499,50.0,50.0
2026-02-05,3,1,2,0,18.0,940,33.33,66.67
2026-02-06,4,3,1,0,53.5,659,75.0,25.0
2026-02-07,4,1,3,0,26.25,826,25.0,75.0
2026-02-08,4,1,2,1,13.25,720,25.0,50.0
2026-02-09,3,2,1,0,16.67,519,66.67,33.33
2026-02-10,3,0,2,1,26.33,470,0.0,66.67
2026-02-11,4,1,3,0,47.0,654,25.0,75.0
2026-02-12,8,4,3,1,16.62,1064,50.0,37.5
2026-02-13,2,2,0,0,4.0,462,100.0,0.0
2026-02-14,4,2,2,0,18.75,798,50.0,50.0
2026-02-15,3,0,2,1,73.67,432,0.0,66.67
2026-02-16,4,1,3,0,40.5,884,25.0,75.0
2026-02-17,4,3,1,0,12.75,953,75.0,25.0
2026-02-18,4,2,2,0,17.25,554,50.0,50.0
2026-02-19,5,3,2,0,25.4,898,60.0,40.0
2026-02-20,4,3,1,0,14.0,653,75.0,25.0
2026-02-21,5,2,3,0,43.2,1075,40.0,60.0
2026-02-22,1,1,0,0,0.0,88,100.0,0.0
2026-02-23,8,2,6,0,38.0,1399,25.0,75.0
2026-02-24,4,1,3,0,29.5,615,25.0,75.0
2026-02-25,3,1,2,0,69.0,545,33.33,66.67
2026-02-26,8,4,4,0,22.62,1293,50.0,50.0
2026-02-27,5,3,2,0,16.0,513,60.0,40.0
2026-02-28,5,1,4,0,26.2,1116,20.0,80.0
2026-03-01,4,2,1,1,6.5,923,50.0,25.0
2026-03-02,5,4,1,0,4.6,1167,80.0,20.0
2026-03-03,5,4,1,0,11.4,820,80.0,20.0
2026-03-05,5,3,2,0,10.6,1201,60.0,40.0
2026-03-06,3,1,2,0,34.33,475,33.33,66.67
2026-03-07,3,3,0,0,1.33,571,100.0,0.0
2026-03-08,4,2,2,0,40.5,927,50.0,50.0
2026-03-09,9,3,6,0,44.89,1781,33.33,66.67
2026-03-10,2,0,2,0,31.5,272,0.0,100.0
2026-03-11,3,3,0,0,1.33,684,100.0,0.0
2026-03-12,3,0,3,0,37.67,700,0.0,100.0
2026-03-13,2,2,0,0,3.0,535,100.0,0.0
2026-03-14,4,2,2,0,17.75,927,50.0,50.0
2026-03-15,4,1,3,0,22.0,777,25.0,75.0
2026-03-16,5,2,2,1,19.8,740,40.0,40.0
2026-03-17,3,2,1,0,7.67,471,66.67,33.33
