route,origin,destination,total_flights,delayed_flights,cancelled_flights,average_delay_minutes,maximum_delay_minutes,total_passengers,delay_rate_pct
FRA-HAM,FRA,HAM,52,29,1,23.92,198,9911,55.77
FRA-ZRH,FRA,ZRH,64,32,2,20.95,137,12702,50.0
FRA-MUC,FRA,MUC,67,33,1,28.03,177,12690,49.25
FRA-VIE,FRA,VIE,67,33,4,27.31,194,11645,49.25
FRA-LHR,FRA,LHR,59,29,3,22.95,162,11503,49.15
FRA-BER,FRA,BER,42,20,2,23.52,140,7795,47.62
FRA-DXB,FRA,DXB,49,23,2,26.59,148,9374,46.94
FRA-AMS,FRA,AMS,52,24,2,25.27,164,9141,46.15
FRA-CDG,FRA,CDG,70,32,4,23.61,148,13324,45.71
FRA-JFK,FRA,JFK,78,33,1,20.58,155,14923,42.31
FRA-MAD,FRA,MAD,63,25,7,18.08,150,11425,39.68
FRA-PMI,FRA,PMI,65,24,2,16.75,150,11687,36.92
